repo,pr_number,duration_hours,description_length,num_comments,num_participants
Hack-with-Github/Awesome-Hacking,164,0.013055555555555556,0,0,1
Hack-with-Github/Awesome-Hacking,163,0.019444444444444445,270,0,1
Hack-with-Github/Awesome-Hacking,162,1742.2180555555556,36,0,1
Hack-with-Github/Awesome-Hacking,161,2105.9972222222223,505,0,1
Hack-with-Github/Awesome-Hacking,160,0.16555555555555557,44,0,1
Hack-with-Github/Awesome-Hacking,159,0.018333333333333333,53,0,1
Hack-with-Github/Awesome-Hacking,158,362.44916666666666,0,0,1
Hack-with-Github/Awesome-Hacking,157,0.021111111111111112,0,0,1
Hack-with-Github/Awesome-Hacking,156,5882.465,0,0,1
Hack-with-Github/Awesome-Hacking,155,602.1158333333333,104,0,1
Hack-with-Github/Awesome-Hacking,154,6350.946944444445,285,0,1
Hack-with-Github/Awesome-Hacking,153,4124.310555555556,124,0,1
Hack-with-Github/Awesome-Hacking,152,5977.9075,138,0,1
Hack-with-Github/Awesome-Hacking,151,3161.1694444444443,87,0,1
Hack-with-Github/Awesome-Hacking,150,3473.686388888889,64,0,1
Hack-with-Github/Awesome-Hacking,149,3780.1897222222224,55,0,1
Hack-with-Github/Awesome-Hacking,148,888.8919444444444,0,0,1
Hack-with-Github/Awesome-Hacking,147,90.15305555555555,9,0,1
Hack-with-Github/Awesome-Hacking,146,151.40805555555556,79,0,1
Hack-with-Github/Awesome-Hacking,145,580.48,121,0,1
Hack-with-Github/Awesome-Hacking,144,14183.420277777777,327,0,1
Hack-with-Github/Awesome-Hacking,143,9542.858888888888,100,0,1
Hack-with-Github/Awesome-Hacking,142,84.43722222222222,0,0,1
Hack-with-Github/Awesome-Hacking,141,290.67305555555555,3,0,1
Hack-with-Github/Awesome-Hacking,140,40.183055555555555,0,0,1
Hack-with-Github/Awesome-Hacking,139,1394.981388888889,74,0,1
Hack-with-Github/Awesome-Hacking,138,12679.413611111111,93,0,1
Hack-with-Github/Awesome-Hacking,137,15421.247222222222,0,0,1
Hack-with-Github/Awesome-Hacking,136,4572.866944444444,144,0,1
Hack-with-Github/Awesome-Hacking,135,4666.917222222222,7,0,1
Hack-with-Github/Awesome-Hacking,134,4780.549166666667,0,0,1
Hack-with-Github/Awesome-Hacking,133,19151.529444444444,53,0,1
Hack-with-Github/Awesome-Hacking,132,6094.944166666667,0,0,1
Hack-with-Github/Awesome-Hacking,131,6357.4447222222225,0,0,1
Hack-with-Github/Awesome-Hacking,130,1704.37,8,0,1
Hack-with-Github/Awesome-Hacking,127,36.15694444444444,33,0,1
Hack-with-Github/Awesome-Hacking,126,116.70722222222223,0,0,1
Hack-with-Github/Awesome-Hacking,125,0.2511111111111111,2,0,1
Hack-with-Github/Awesome-Hacking,124,2083.1058333333335,304,0,1
Hack-with-Github/Awesome-Hacking,123,3040.0980555555557,0,0,1
Hack-with-Github/Awesome-Hacking,122,3090.0286111111113,0,0,1
Hack-with-Github/Awesome-Hacking,121,7210.971666666666,0,0,1
Hack-with-Github/Awesome-Hacking,120,7238.812222222222,88,0,1
Hack-with-Github/Awesome-Hacking,119,7269.626666666667,16,0,1
Hack-with-Github/Awesome-Hacking,118,7275.706944444444,0,0,1
Hack-with-Github/Awesome-Hacking,117,0.2980555555555556,0,0,1
Hack-with-Github/Awesome-Hacking,116,4.853055555555556,44,0,1
Hack-with-Github/Awesome-Hacking,115,7282.513333333333,57,0,1
Hack-with-Github/Awesome-Hacking,114,8.011111111111111,93,0,1
Hack-with-Github/Awesome-Hacking,113,7299.0025,0,0,1
Hack-with-Github/Awesome-Hacking,112,8213.655277777778,207,0,1
Hack-with-Github/Awesome-Hacking,96,270.37388888888887,22,0,1
Hack-with-Github/Awesome-Hacking,86,576.6847222222223,39,0,1
Hack-with-Github/Awesome-Hacking,74,767.02,347,0,1
Hack-with-Github/Awesome-Hacking,73,0.01361111111111111,18,0,1
Hack-with-Github/Awesome-Hacking,72,2639.380833333333,31,0,1
Hack-with-Github/Awesome-Hacking,71,6762.869722222223,0,0,1
Hack-with-Github/Awesome-Hacking,66,4313.7375,54,0,1
Hack-with-Github/Awesome-Hacking,64,231.03944444444446,0,0,1
Hack-with-Github/Awesome-Hacking,63,0.6055555555555555,0,0,1
Hack-with-Github/Awesome-Hacking,61,75.13416666666667,0,0,1
Hack-with-Github/Awesome-Hacking,60,137.25416666666666,126,0,1
Hack-with-Github/Awesome-Hacking,59,165.9086111111111,0,0,1
Hack-with-Github/Awesome-Hacking,58,15914.809166666666,0,0,1
Hack-with-Github/Awesome-Hacking,57,444.93916666666667,0,0,1
Hack-with-Github/Awesome-Hacking,56,15989.443888888889,96,0,1
Hack-with-Github/Awesome-Hacking,55,28.398055555555555,63,0,1
Hack-with-Github/Awesome-Hacking,54,28.601944444444445,95,0,1
Hack-with-Github/Awesome-Hacking,52,286.84,0,0,1
Hack-with-Github/Awesome-Hacking,51,1000.6180555555555,0,0,1
Hack-with-Github/Awesome-Hacking,50,293.66833333333335,0,0,1
Hack-with-Github/Awesome-Hacking,49,640.8341666666666,0,0,1
Hack-with-Github/Awesome-Hacking,48,132.20222222222222,0,0,1
Hack-with-Github/Awesome-Hacking,47,1397.8408333333334,271,0,1
Hack-with-Github/Awesome-Hacking,46,0.004722222222222222,9,0,1
Hack-with-Github/Awesome-Hacking,45,172.8136111111111,46,0,1
Hack-with-Github/Awesome-Hacking,44,60.76416666666667,23,0,1
Hack-with-Github/Awesome-Hacking,42,223.675,41,0,1
Hack-with-Github/Awesome-Hacking,41,24664.23611111111,60,0,1
Hack-with-Github/Awesome-Hacking,40,172.16611111111112,48,0,1
Hack-with-Github/Awesome-Hacking,39,0.14027777777777778,99,0,1
Hack-with-Github/Awesome-Hacking,38,36.278888888888886,0,0,1
Hack-with-Github/Awesome-Hacking,35,11.968333333333334,29,0,1
Hack-with-Github/Awesome-Hacking,33,14.54888888888889,0,0,1
Hack-with-Github/Awesome-Hacking,32,284.8536111111111,290,0,1
Hack-with-Github/Awesome-Hacking,31,16.854166666666668,0,0,1
Hack-with-Github/Awesome-Hacking,30,1.0777777777777777,0,0,1
Hack-with-Github/Awesome-Hacking,29,7.458888888888889,0,0,1
Hack-with-Github/Awesome-Hacking,28,8.869444444444444,0,0,1
Hack-with-Github/Awesome-Hacking,27,7.012777777777778,114,0,1
Hack-with-Github/Awesome-Hacking,26,1312.2019444444445,62,0,1
Hack-with-Github/Awesome-Hacking,25,161.70305555555555,0,0,1
Hack-with-Github/Awesome-Hacking,24,16.137777777777778,136,0,1
Hack-with-Github/Awesome-Hacking,23,0.05138888888888889,38,0,1
Hack-with-Github/Awesome-Hacking,21,11.873888888888889,29,0,1
Hack-with-Github/Awesome-Hacking,17,7.710277777777778,0,0,1
Hack-with-Github/Awesome-Hacking,16,0.0575,0,0,1
Hack-with-Github/Awesome-Hacking,15,7.792222222222223,0,0,1
Hack-with-Github/Awesome-Hacking,14,0.23416666666666666,537,0,1
Hack-with-Github/Awesome-Hacking,13,46.12833333333333,205,0,1
